char	unicode	big5	category	dfs_code	compat_class	t2s	base_char_at_code	ime_reserved	note
衍	U+884D	AD6C	cjk	$12C0	base-exact	衍	衍	yes	
衫	U+886B	AD6D	cjk	$0F45	base-exact	衫	衫	yes	
要	U+8981	AD6E	cjk	$12EC	base-exact	要	要	yes	
計	U+8A08	AD70	cjk	$09E6	base-t2s-ime-glyph-patch	计	计	yes	glyph patch 计->計
訂	U+8A02	AD71	cjk	$0744	base-t2s-ime-glyph-patch	订	订	yes	glyph patch 订->訂
訃	U+8A03	AD72	cjk	$0830	base-t2s-ime-glyph-patch	讣	讣	yes	glyph patch 讣->訃
貞	U+8C9E	AD73	cjk	$1882	base-t2s-ime-glyph-patch	贞	贞	yes	glyph patch 贞->貞
負	U+8CA0	AD74	cjk	$082E	base-t2s-ime-glyph-patch	负	负	yes	glyph patch 负->負
赴	U+8D74	AD75	cjk	$0824	base-exact	赴	赴	yes	
赳	U+8D73	AD76	cjk	$2D71	base-exact	赳	赳	yes	
趴	U+8DB4	AD77	cjk	$0DA5	base-exact	趴	趴	yes	
軍	U+8ECD	AD78	cjk	$0AF6	base-t2s-ime-glyph-patch	军	军	yes	glyph patch 军->軍
軌	U+8ECC	AD79	cjk	$08D4	base-t2s-ime-glyph-patch	轨	轨	yes	glyph patch 轨->軌
述	U+8FF0	AD7A	cjk	$0FEE	base-exact	述	述	yes	
迦	U+8FE6	AD7B	cjk	$1EF4	base-exact	迦	迦	yes	
迢	U+8FE2	AD7C	cjk	$10C8	base-exact	迢	迢	yes	
迪	U+8FEA	AD7D	cjk	$0707	base-exact	迪	迪	yes	
迥	U+8FE5	AD7E	cjk	$1EF0	base-exact	迥	迥	yes	
迭	U+8FED	ADA1	cjk	$0738	base-exact	迭	迭	yes	
迫	U+8FEB	ADA2	cjk	$0E10	base-exact	迫	迫	yes	
迤	U+8FE4	ADA3	cjk	$1EF2	base-exact	迤	迤	yes	
迨	U+8FE8	ADA4	cjk	$1EF6	base-exact	迨	迨	yes	
郊	U+90CA	ADA5	cjk	$0A43	base-exact	郊	郊	yes	
郎	U+90CE	ADA6	cjk	$0B9D	base-exact	郎	郎	yes	
郁	U+90C1	ADA7	cjk	$13B2	base-exact	郁	郁	yes	
酋	U+914B	ADA9	cjk	$0EB5	base-exact	酋	酋	yes	
酊	U+914A	ADAA	cjk	$2D7A	base-exact	酊	酊	yes	
重	U+91CD	ADAB	cjk	$18CE	base-exact	重	重	yes	
閂	U+9582	ADAC	cjk	$1E1E	base-t2s-ime-glyph-patch	闩	闩	yes	glyph patch 闩->閂
限	U+9650	ADAD	cjk	$11E8	base-exact	限	限	yes	
陋	U+964B	ADAE	cjk	$0C43	base-exact	陋	陋	yes	
陌	U+964C	ADAF	cjk	$0D21	base-exact	陌	陌	yes	
降	U+964D	ADB0	cjk	$0A3B	base-exact	降	降	yes	
面	U+9762	ADB1	cjk	$0CF2	base-exact	面	面	yes	
革	U+9769	ADB2	cjk	$0879	base-exact	革	革	yes	
韋	U+97CB	ADB3	cjk	$113A	base-t2s-ime-glyph-patch	韦	韦	yes	glyph patch 韦->韋
韭	U+97ED	ADB4	cjk	$0ABC	base-exact	韭	韭	yes	
音	U+97F3	ADB5	cjk	$133E	base-exact	音	音	yes	
頁	U+9801	ADB6	cjk	$12F5	base-t2s-ime-glyph-patch	页	页	yes	glyph patch 页->頁
風	U+98A8	ADB7	cjk	$07F5	base-t2s-ime-glyph-patch	风	风	yes	glyph patch 风->風
飛	U+98DB	ADB8	cjk	$07D7	base-t2s-ime-glyph-patch	飞	飞	yes	glyph patch 飞->飛
食	U+98DF	ADB9	cjk	$0FAB	base-exact	食	食	yes	
首	U+9996	ADBA	cjk	$0FCF	base-exact	首	首	yes	
香	U+9999	ADBB	cjk	$11ED	base-exact	香	香	yes	
乘	U+4E58	ADBC	cjk	$062D	base-exact	乘	乘	yes	
亳	U+4EB3	ADBD	cjk	$1A27	base-exact	亳	亳	yes	
倌	U+500C	ADBE	cjk	$19F2	base-exact	倌	倌	yes	
倍	U+500D	ADBF	cjk	$053E	base-exact	倍	倍	yes	
俯	U+4FEF	ADC1	cjk	$081C	base-exact	俯	俯	yes	
倦	U+5026	ADC2	cjk	$0AE5	base-exact	倦	倦	yes	
倥	U+5025	ADC3	cjk	$19F3	base-exact	倥	倥	yes	
俸	U+4FF8	ADC4	cjk	$19E8	base-exact	俸	俸	yes	
倩	U+5029	ADC5	cjk	$19E9	base-exact	倩	倩	yes	
倆	U+5006	ADC7	cjk	$0BDB	base-t2s-ime-glyph-patch	俩	俩	yes	glyph patch 俩->倆
值	U+503C	ADC8	cjk	$18AB	base-exact	值	值	yes	
借	U+501F	ADC9	cjk	$0A84	base-exact	借	借	yes	
倚	U+501A	ADCA	cjk	$1319	base-exact	倚	倚	yes	
倒	U+5012	ADCB	cjk	$06ED	base-exact	倒	倒	yes	
們	U+5011	ADCC	cjk	$0CD3	base-t2s-ime-glyph-patch	们	们	yes	glyph patch 们->們
俺	U+4FFA	ADCD	cjk	$04D5	base-exact	俺	俺	yes	
倀	U+5000	ADCE	cjk	$19C6	base-t2s-ime-glyph-patch	伥	伥	yes	glyph patch 伥->倀
倔	U+5014	ADCF	cjk	$0AED	base-exact	倔	倔	yes	
倨	U+5028	ADD0	cjk	$19F4	base-exact	倨	倨	yes	
俱	U+4FF1	ADD1	cjk	$0ADD	base-exact	俱	俱	yes	
倡	U+5021	ADD2	cjk	$0609	base-exact	倡	倡	yes	
個	U+500B	ADD3	cjk	$0880	base-t2s-ime-glyph-patch	个	个	yes	glyph patch 个->個; strict policy: canonical glyph patch for shared code $0880
候	U+5019	ADD4	cjk	$0941	base-exact	候	候	yes	
倘	U+5018	ADD5	cjk	$109A	base-exact	倘	倘	yes	
俳	U+4FF3	ADD6	cjk	$19EB	base-exact	俳	俳	yes	
修	U+4FEE	ADD7	cjk	$1264	base-exact	修	修	yes	
倭	U+502D	ADD8	cjk	$19EF	base-exact	倭	倭	yes	
倪	U+502A	ADD9	cjk	$0D67	base-exact	倪	倪	yes	
