char	unicode	big5	category	dfs_code	compat_class	t2s	base_char_at_code	ime_reserved	note
勿	U+52FF	A4C5	cjk	$119C	base-exact	勿	勿	yes	
化	U+5316	A4C6	cjk	$0971	base-exact	化	化	yes	
匹	U+5339	A4C7	cjk	$0DE9	base-exact	匹	匹	yes	
午	U+5348	A4C8	cjk	$1193	base-exact	午	午	yes	
升	U+5347	A4C9	cjk	$0F97	base-exact	升	升	yes	
卞	U+535E	A4CB	cjk	$0583	base-exact	卞	卞	yes	
厄	U+5384	A4CC	cjk	$07A2	base-exact	厄	厄	yes	
友	U+53CB	A4CD	cjk	$138F	base-exact	友	友	yes	
及	U+53CA	A4CE	cjk	$09D0	base-exact	及	及	yes	
反	U+53CD	A4CF	cjk	$07C2	base-exact	反	反	yes	
壬	U+58EC	A4D0	cjk	$0EE7	base-exact	壬	壬	yes	
天	U+5929	A4D1	cjk	$10BE	base-exact	天	天	yes	
夫	U+592B	A4D2	cjk	$0804	base-exact	夫	夫	yes	
太	U+592A	A4D3	cjk	$107D	base-exact	太	太	yes	
夭	U+592D	A4D4	cjk	$1982	base-exact	夭	夭	yes	
孔	U+5B54	A4D5	cjk	$0B37	base-exact	孔	孔	yes	
少	U+5C11	A4D6	cjk	$0F73	base-exact	少	少	yes	
尤	U+5C24	A4D7	cjk	$1386	base-exact	尤	尤	yes	
尺	U+5C3A	A4D8	cjk	$0642	base-exact	尺	尺	yes	
屯	U+5C6F	A4D9	cjk	$1101	base-exact	屯	屯	yes	
巴	U+5DF4	A4DA	cjk	$04EF	base-exact	巴	巴	yes	
幻	U+5E7B	A4DB	cjk	$0985	base-exact	幻	幻	yes	
廿	U+5EFF	A4DC	cjk	$1975	base-exact	廿	廿	yes	
引	U+5F15	A4DE	cjk	$1348	base-exact	引	引	yes	
心	U+5FC3	A4DF	cjk	$1234	base-exact	心	心	yes	
戈	U+6208	A4E0	cjk	$0874	base-exact	戈	戈	yes	
戶	U+6236	A4E1	cjk	$0969	base-t2s-ime-glyph-patch	户	户	yes	glyph patch 户->戶
手	U+624B	A4E2	cjk	$0FCE	base-exact	手	手	yes	
扎	U+624E	A4E3	cjk	$181D	base-exact	扎	扎	yes	
支	U+652F	A4E4	cjk	$189D	base-exact	支	支	yes	
文	U+6587	A4E5	cjk	$1170	base-exact	文	文	yes	
斗	U+6597	A4E6	cjk	$0767	base-exact	斗	斗	yes	
斤	U+65A4	A4E7	cjk	$0A8B	base-exact	斤	斤	yes	
方	U+65B9	A4E8	cjk	$07CB	base-exact	方	方	yes	
日	U+65E5	A4E9	cjk	$0EF3	base-exact	日	日	yes	
曰	U+66F0	A4EA	cjk	$13D7	base-exact	曰	曰	yes	
月	U+6708	A4EB	cjk	$13DE	base-exact	月	月	yes	
木	U+6728	A4EC	cjk	$0D30	base-exact	木	木	yes	
欠	U+6B20	A4ED	cjk	$0E77	base-exact	欠	欠	yes	
止	U+6B62	A4EE	cjk	$18AF	base-exact	止	止	yes	
歹	U+6B79	A4EF	cjk	$06CB	base-exact	歹	歹	yes	
毋	U+6BCB	A4F0	cjk	$118F	base-exact	毋	毋	yes	
比	U+6BD4	A4F1	cjk	$0566	base-exact	比	比	yes	
毛	U+6BDB	A4F2	cjk	$0CB7	base-exact	毛	毛	yes	
氏	U+6C0F	A4F3	cjk	$0FC7	base-exact	氏	氏	yes	
水	U+6C34	A4F4	cjk	$1008	base-exact	水	水	yes	
火	U+706B	A4F5	cjk	$09B2	base-exact	火	火	yes	
爪	U+722A	A4F6	cjk	$18FA	base-exact	爪	爪	yes	
父	U+7236	A4F7	cjk	$082C	base-exact	父	父	yes	
爻	U+723B	A4F8	cjk	$1983	base-exact	爻	爻	yes	
片	U+7247	A4F9	cjk	$0DF0	base-exact	片	片	yes	
牙	U+7259	A4FA	cjk	$12A4	base-exact	牙	牙	yes	
牛	U+725B	A4FB	cjk	$0D89	base-exact	牛	牛	yes	
犬	U+72AC	A4FC	cjk	$0ECC	base-exact	犬	犬	yes	
王	U+738B	A4FD	cjk	$112D	base-exact	王	王	yes	
丙	U+4E19	A4FE	cjk	$0599	base-exact	丙	丙	yes	
世	U+4E16	A540	cjk	$0FB8	base-exact	世	世	yes	
丕	U+4E15	A541	cjk	$1977	base-exact	丕	丕	yes	
且	U+4E14	A542	cjk	$0E92	base-exact	且	且	yes	
丘	U+4E18	A543	cjk	$0EB0	base-exact	丘	丘	yes	
主	U+4E3B	A544	cjk	$18ED	base-exact	主	主	yes	
乍	U+4E4D	A545	cjk	$1829	base-exact	乍	乍	yes	
乏	U+4E4F	A546	cjk	$07B4	base-exact	乏	乏	yes	
乎	U+4E4E	A547	cjk	$0944	base-exact	乎	乎	yes	
以	U+4EE5	A548	cjk	$131D	base-exact	以	以	yes	
付	U+4ED8	A549	cjk	$082A	base-exact	付	付	yes	
仔	U+4ED4	A54A	cjk	$192C	base-exact	仔	仔	yes	
仕	U+4ED5	A54B	cjk	$0FC3	base-exact	仕	仕	yes	
他	U+4ED6	A54C	cjk	$106F	base-exact	他	他	yes	
仗	U+4ED7	A54D	cjk	$1864	base-exact	仗	仗	yes	
代	U+4EE3	A54E	cjk	$06D0	base-exact	代	代	yes	
令	U+4EE4	A54F	cjk	$0C28	base-exact	令	令	yes	
仙	U+4ED9	A550	cjk	$11D3	base-exact	仙	仙	yes	
仞	U+4EDE	A551	cjk	$19C0	base-exact	仞	仞	yes	
充	U+5145	A552	cjk	$0647	base-exact	充	充	yes	
兄	U+5144	A553	cjk	$1247	base-exact	兄	兄	yes	
冉	U+5189	A554	cjk	$0EDB	base-exact	冉	冉	yes	
冊	U+518A	A555	cjk	$05DD	base-t2s-ime-glyph-patch	册	册	yes	glyph patch 册->冊
冬	U+51AC	A556	cjk	$0747	base-exact	冬	冬	yes	
凹	U+51F9	A557	cjk	$04DE	base-exact	凹	凹	yes	
出	U+51FA	A558	cjk	$066E	base-exact	出	出	yes	
凸	U+51F8	A559	cjk	$10E9	base-exact	凸	凸	yes	
刊	U+520A	A55A	cjk	$0B0B	base-exact	刊	刊	yes	
加	U+52A0	A55B	cjk	$09F3	base-exact	加	加	yes	
功	U+529F	A55C	cjk	$088E	base-exact	功	功	yes	
包	U+5305	A55D	cjk	$0526	base-exact	包	包	yes	
匆	U+5306	A55E	cjk	$06A8	base-exact	匆	匆	yes	
北	U+5317	A55F	cjk	$0539	base-exact	北	北	yes	
匝	U+531D	A560	cjk	$13ED	base-exact	匝	匝	yes	
仟	U+4EDF	A561	cjk	$0E6A	base-exact	仟	仟	yes	
半	U+534A	A562	cjk	$0511	base-exact	半	半	yes	
卉	U+5349	A563	cjk	$099E	base-exact	卉	卉	yes	
卡	U+5361	A564	cjk	$0B04	base-exact	卡	卡	yes	
占	U+5360	A565	cjk	$183E	base-exact	占	占	yes	
卯	U+536F	A566	cjk	$0CBA	base-exact	卯	卯	yes	
卮	U+536E	A567	cjk	$1984	base-exact	卮	卮	yes	
去	U+53BB	A568	cjk	$0EC3	base-exact	去	去	yes	
可	U+53EF	A569	cjk	$0B29	base-exact	可	可	yes	
古	U+53E4	A56A	cjk	$08AD	base-exact	古	古	yes	
右	U+53F3	A56B	cjk	$1390	base-exact	右	右	yes	
召	U+53EC	A56C	cjk	$1871	base-exact	召	召	yes	
叮	U+53EE	A56D	cjk	$073D	base-exact	叮	叮	yes	
叩	U+53E9	A56E	cjk	$1C71	base-exact	叩	叩	yes	
叨	U+53E8	A56F	cjk	$1C72	base-exact	叨	叨	yes	
叼	U+53FC	A570	cjk	$072C	base-exact	叼	叼	yes	
司	U+53F8	A571	cjk	$101B	base-exact	司	司	yes	
叵	U+53F5	A572	cjk	$199F	base-exact	叵	叵	yes	
叫	U+53EB	A573	cjk	$0A6C	base-exact	叫	叫	yes	
另	U+53E6	A574	cjk	$0C27	base-exact	另	另	yes	
只	U+53EA	A575	cjk	$18B1	base-exact	只	只	yes	
史	U+53F2	A576	cjk	$0FAF	base-exact	史	史	yes	
叱	U+53F1	A577	cjk	$1C6F	base-exact	叱	叱	yes	
台	U+53F0	A578	cjk	$107A	base-exact	台	台	yes	
句	U+53E5	A579	cjk	$0ADE	base-exact	句	句	yes	
叭	U+53ED	A57A	cjk	$04EA	base-exact	叭	叭	yes	
叻	U+53FB	A57B	cjk	$1C73	base-exact	叻	叻	yes	
四	U+56DB	A57C	cjk	$1021	base-exact	四	四	yes	
囚	U+56DA	A57D	cjk	$0EB4	base-exact	囚	囚	yes	
外	U+5916	A57E	cjk	$1119	base-exact	外	外	yes	
央	U+592E	A5A1	cjk	$12CF	base-exact	央	央	yes	
失	U+5931	A5A2	cjk	$0F9F	base-exact	失	失	yes	
奴	U+5974	A5A3	cjk	$0D91	base-exact	奴	奴	yes	
奶	U+5976	A5A4	cjk	$0D3E	base-exact	奶	奶	yes	
孕	U+5B55	A5A5	cjk	$13EC	base-exact	孕	孕	yes	
它	U+5B83	A5A6	cjk	$1070	base-exact	它	它	yes	
尼	U+5C3C	A5A7	cjk	$0D69	base-exact	尼	尼	yes	
巨	U+5DE8	A5A8	cjk	$0AD8	base-exact	巨	巨	yes	
巧	U+5DE7	A5A9	cjk	$0E89	base-exact	巧	巧	yes	
左	U+5DE6	A5AA	cjk	$1965	base-exact	左	左	yes	
市	U+5E02	A5AB	cjk	$0FC8	base-exact	市	市	yes	
布	U+5E03	A5AC	cjk	$05B8	base-exact	布	布	yes	
平	U+5E73	A5AD	cjk	$0E05	base-exact	平	平	yes	
幼	U+5E7C	A5AE	cjk	$1395	base-exact	幼	幼	yes	
弁	U+5F01	A5AF	cjk	$1AD5	base-exact	弁	弁	yes	
弘	U+5F18	A5B0	cjk	$0939	base-exact	弘	弘	yes	
弗	U+5F17	A5B1	cjk	$0818	base-exact	弗	弗	yes	
必	U+5FC5	A5B2	cjk	$0576	base-exact	必	必	yes	
戊	U+620A	A5B3	cjk	$1198	base-exact	戊	戊	yes	
打	U+6253	A5B4	cjk	$06C8	base-exact	打	打	yes	
扔	U+6254	A5B5	cjk	$0EF1	base-exact	扔	扔	yes	
扒	U+6252	A5B6	cjk	$04E9	base-exact	扒	扒	yes	
扑	U+6251	A5B7	cjk	$0E13	base-exact	扑	扑	yes	
斥	U+65A5	A5B8	cjk	$0645	base-exact	斥	斥	yes	
旦	U+65E6	A5B9	cjk	$06DD	base-exact	旦	旦	yes	
朮	U+672E	A5BA	cjk	$0FED	base-t2s-ime-glyph-patch	术	术	yes	glyph patch 术->朮; strict policy: canonical glyph patch for shared code $0FED
本	U+672C	A5BB	cjk	$0547	base-exact	本	本	yes	
未	U+672A	A5BC	cjk	$1160	base-exact	未	未	yes	
末	U+672B	A5BD	cjk	$0D1A	base-exact	末	末	yes	
札	U+672D	A5BE	cjk	$1820	base-exact	札	札	yes	
正	U+6B63	A5BF	cjk	$1895	base-exact	正	正	yes	
母	U+6BCD	A5C0	cjk	$0D2A	base-exact	母	母	yes	
民	U+6C11	A5C1	cjk	$0D01	base-exact	民	民	yes	
氐	U+6C10	A5C2	cjk	$1985	base-exact	氐	氐	yes	
永	U+6C38	A5C3	cjk	$137E	base-exact	永	永	yes	
汁	U+6C41	A5C4	cjk	$18A3	base-exact	汁	汁	yes	
汀	U+6C40	A5C5	cjk	$10D1	base-exact	汀	汀	yes	
犯	U+72AF	A5C7	cjk	$07C6	base-exact	犯	犯	yes	
玄	U+7384	A5C8	cjk	$1284	base-exact	玄	玄	yes	
玉	U+7389	A5C9	cjk	$13AF	base-exact	玉	玉	yes	
瓜	U+74DC	A5CA	cjk	$08B7	base-exact	瓜	瓜	yes	
瓦	U+74E6	A5CB	cjk	$1113	base-exact	瓦	瓦	yes	
甘	U+7518	A5CC	cjk	$083E	base-exact	甘	甘	yes	
生	U+751F	A5CD	cjk	$0F94	base-exact	生	生	yes	
用	U+7528	A5CE	cjk	$1381	base-exact	用	用	yes	
甩	U+7529	A5CF	cjk	$0FFC	base-exact	甩	甩	yes	
田	U+7530	A5D0	cjk	$10C1	base-exact	田	田	yes	
由	U+7531	A5D1	cjk	$1387	base-exact	由	由	yes	
甲	U+7532	A5D2	cjk	$09F7	base-exact	甲	甲	yes	
申	U+7533	A5D3	cjk	$0F84	base-exact	申	申	yes	
疋	U+758B	A5D4	cjk	$2C10	base-exact	疋	疋	yes	
白	U+767D	A5D5	cjk	$04F9	base-exact	白	白	yes	
皮	U+76AE	A5D6	cjk	$0DE8	base-exact	皮	皮	yes	
皿	U+76BF	A5D7	cjk	$0D03	base-exact	皿	皿	yes	
目	U+76EE	A5D8	cjk	$0D31	base-exact	目	目	yes	
矛	U+77DB	A5D9	cjk	$0CB8	base-exact	矛	矛	yes	
矢	U+77E2	A5DA	cjk	$0FB0	base-exact	矢	矢	yes	
石	U+77F3	A5DB	cjk	$0FA7	base-exact	石	石	yes	
示	U+793A	A5DC	cjk	$0FB6	base-exact	示	示	yes	
禾	U+79BE	A5DD	cjk	$0919	base-exact	禾	禾	yes	
穴	U+7A74	A5DE	cjk	$128C	base-exact	穴	穴	yes	
立	U+7ACB	A5DF	cjk	$0BD4	base-exact	立	立	yes	
丞	U+4E1E	A5E0	cjk	$1979	base-exact	丞	丞	yes	
丟	U+4E1F	A5E1	cjk	$0745	base-t2s-ime-glyph-patch	丢	丢	yes	glyph patch 丢->丟
乒	U+4E52	A5E2	cjk	$0E01	base-exact	乒	乒	yes	
乓	U+4E53	A5E3	cjk	$0DB8	base-exact	乓	乓	yes	
乩	U+4E69	A5E4	cjk	$1990	base-exact	乩	乩	yes	
亙	U+4E99	A5E5	cjk	$1978	base-t2s-ime-glyph-patch	亘	亘	yes	glyph patch 亘->亙
交	U+4EA4	A5E6	cjk	$0A42	base-exact	交	交	yes	
亦	U+4EA6	A5E7	cjk	$132A	base-exact	亦	亦	yes	
亥	U+4EA5	A5E8	cjk	$08EB	base-exact	亥	亥	yes	
仿	U+4EFF	A5E9	cjk	$07D0	base-exact	仿	仿	yes	
伉	U+4F09	A5EA	cjk	$19C8	base-exact	伉	伉	yes	
伙	U+4F19	A5EB	cjk	$09B1	base-exact	伙	伙	yes	
伊	U+4F0A	A5EC	cjk	$1307	base-exact	伊	伊	yes	
伍	U+4F0D	A5EE	cjk	$1195	base-exact	伍	伍	yes	
伐	U+4F10	A5EF	cjk	$07B3	base-exact	伐	伐	yes	
休	U+4F11	A5F0	cjk	$1263	base-exact	休	休	yes	
伏	U+4F0F	A5F1	cjk	$080E	base-exact	伏	伏	yes	
仲	U+4EF2	A5F2	cjk	$18CF	base-exact	仲	仲	yes	
件	U+4EF6	A5F3	cjk	$0A26	base-exact	件	件	yes	
任	U+4EFB	A5F4	cjk	$0EEC	base-exact	任	任	yes	
仰	U+4EF0	A5F5	cjk	$12DA	base-exact	仰	仰	yes	
仳	U+4EF3	A5F6	cjk	$19C2	base-exact	仳	仳	yes	
份	U+4EFD	A5F7	cjk	$07EB	base-exact	份	份	yes	
企	U+4F01	A5F8	cjk	$0E40	base-exact	企	企	yes	
光	U+5149	A5FA	cjk	$08CA	base-exact	光	光	yes	
兆	U+5146	A5FC	cjk	$186F	base-exact	兆	兆	yes	
先	U+5148	A5FD	cjk	$11D2	base-exact	先	先	yes	
全	U+5168	A5FE	cjk	$0EC9	base-exact	全	全	yes	
共	U+5171	A640	cjk	$089A	base-exact	共	共	yes	
再	U+518D	A641	cjk	$13F5	base-exact	再	再	yes	
冰	U+51B0	A642	cjk	$0597	base-exact	冰	冰	yes	
列	U+5217	A643	cjk	$0C06	base-exact	列	列	yes	
刑	U+5211	A644	cjk	$123C	base-exact	刑	刑	yes	
划	U+5212	A645	cjk	$0970	base-exact	划	划	yes	
刎	U+520E	A646	cjk	$19A8	base-exact	刎	刎	yes	
刖	U+5216	A647	cjk	$2978	base-exact	刖	刖	yes	
劣	U+52A3	A648	cjk	$0C09	base-exact	劣	劣	yes	
匈	U+5308	A649	cjk	$124A	base-exact	匈	匈	yes	
匡	U+5321	A64A	cjk	$0B65	base-exact	匡	匡	yes	
匠	U+5320	A64B	cjk	$0A39	base-exact	匠	匠	yes	
印	U+5370	A64C	cjk	$134A	base-exact	印	印	yes	
危	U+5371	A64D	cjk	$1139	base-exact	危	危	yes	
吉	U+5409	A64E	cjk	$09CA	base-exact	吉	吉	yes	
吏	U+540F	A64F	cjk	$0BC8	base-exact	吏	吏	yes	
同	U+540C	A650	cjk	$10DC	base-exact	同	同	yes	
吊	U+540A	A651	cjk	$0731	base-exact	吊	吊	yes	
吐	U+5410	A652	cjk	$10F2	base-exact	吐	吐	yes	
吁	U+5401	A653	cjk	$13B3	base-exact	吁	吁	yes	
各	U+5404	A655	cjk	$0881	base-exact	各	各	yes	
向	U+5411	A656	cjk	$11FC	base-exact	向	向	yes	
名	U+540D	A657	cjk	$0D0B	base-exact	名	名	yes	
合	U+5408	A658	cjk	$091C	base-exact	合	合	yes	
吃	U+5403	A659	cjk	$0636	base-exact	吃	吃	yes	
后	U+540E	A65A	cjk	$0942	base-exact	后	后	yes	
吆	U+5406	A65B	cjk	$1C76	base-exact	吆	吆	yes	
吒	U+5412	A65C	cjk	$1C74	base-exact	咤	吒	yes	
因	U+56E0	A65D	cjk	$133C	base-exact	因	因	yes	
回	U+56DE	A65E	cjk	$099A	base-exact	回	回	yes	
囝	U+56DD	A65F	cjk	$1D0C	base-exact	囝	囝	yes	
圳	U+5733	A660	cjk	$1AE2	base-exact	圳	圳	yes	
地	U+5730	A661	cjk	$0710	base-exact	地	地	yes	
在	U+5728	A662	cjk	$13F6	base-exact	在	在	yes	
圭	U+572D	A663	cjk	$08CF	base-exact	圭	圭	yes	
圬	U+572C	A664	cjk	$1AE0	base-exact	圬	圬	yes	
圯	U+572F	A665	cjk	$1AE5	base-exact	圯	圯	yes	
圩	U+5729	A666	cjk	$1ADF	base-exact	圩	圩	yes	
夙	U+5919	A667	cjk	$1A23	base-exact	夙	夙	yes	
多	U+591A	A668	cjk	$0790	base-exact	多	多	yes	
夷	U+5937	A669	cjk	$130A	base-exact	夷	夷	yes	
夸	U+5938	A66A	cjk	$0B45	base-exact	夸	夸	yes	
妄	U+5984	A66B	cjk	$1135	base-exact	妄	妄	yes	
奸	U+5978	A66C	cjk	$0A0D	base-exact	奸	奸	yes	
妃	U+5983	A66D	cjk	$1F2E	base-exact	妃	妃	yes	
好	U+597D	A66E	cjk	$090D	base-exact	好	好	yes	
她	U+5979	A66F	cjk	$1071	base-exact	她	她	yes	
如	U+5982	A670	cjk	$0F09	base-exact	如	如	yes	
妁	U+5981	A671	cjk	$1F2D	base-exact	妁	妁	yes	
字	U+5B57	A672	cjk	$1932	base-exact	字	字	yes	
存	U+5B58	A673	cjk	$06BC	base-exact	存	存	yes	
宇	U+5B87	A674	cjk	$13AC	base-exact	宇	宇	yes	
守	U+5B88	A675	cjk	$0FD0	base-exact	守	守	yes	
宅	U+5B85	A676	cjk	$182E	base-exact	宅	宅	yes	
安	U+5B89	A677	cjk	$04D4	base-exact	安	安	yes	
寺	U+5BFA	A678	cjk	$101F	base-exact	寺	寺	yes	
尖	U+5C16	A679	cjk	$0A06	base-exact	尖	尖	yes	
屹	U+5C79	A67A	cjk	$1323	base-exact	屹	屹	yes	
州	U+5DDE	A67B	cjk	$18D3	base-exact	州	州	yes	
帆	U+5E06	A67C	cjk	$07B9	base-exact	帆	帆	yes	
并	U+5E76	A67D	cjk	$059E	base-exact	并	并	yes	
年	U+5E74	A67E	cjk	$0D72	base-exact	年	年	yes	
式	U+5F0F	A6A1	cjk	$0FB5	base-exact	式	式	yes	
弛	U+5F1B	A6A2	cjk	$063C	base-exact	弛	弛	yes	
忙	U+5FD9	A6A3	cjk	$0CB2	base-exact	忙	忙	yes	
忖	U+5FD6	A6A4	cjk	$1DD6	base-exact	忖	忖	yes	
戎	U+620E	A6A5	cjk	$0EF4	base-exact	戎	戎	yes	
戌	U+620C	A6A6	cjk	$126D	base-exact	戌	戌	yes	
戍	U+620D	A6A7	cjk	$0FF1	base-exact	戍	戍	yes	
成	U+6210	A6A8	cjk	$062B	base-exact	成	成	yes	
扣	U+6263	A6A9	cjk	$0B3B	base-exact	扣	扣	yes	
扛	U+625B	A6AA	cjk	$0B17	base-exact	扛	扛	yes	
托	U+6258	A6AB	cjk	$1104	base-exact	托	托	yes	
收	U+6536	A6AC	cjk	$0FCD	base-exact	收	收	yes	
早	U+65E9	A6AD	cjk	$1807	base-exact	早	早	yes	
旨	U+65E8	A6AE	cjk	$18B2	base-exact	旨	旨	yes	
旬	U+65EC	A6AF	cjk	$1292	base-exact	旬	旬	yes	
旭	U+65ED	A6B0	cjk	$1277	base-exact	旭	旭	yes	
曲	U+66F2	A6B1	cjk	$0EBA	base-exact	曲	曲	yes	
曳	U+66F3	A6B2	cjk	$12F9	base-exact	曳	曳	yes	
有	U+6709	A6B3	cjk	$138E	base-exact	有	有	yes	
朽	U+673D	A6B4	cjk	$1266	base-exact	朽	朽	yes	
朴	U+6734	A6B5	cjk	$0E1E	base-exact	朴	朴	yes	
朱	U+6731	A6B6	cjk	$18E2	base-exact	朱	朱	yes	
朵	U+6735	A6B7	cjk	$0794	base-exact	朵	朵	yes	
次	U+6B21	A6B8	cjk	$06A4	base-exact	次	次	yes	
此	U+6B64	A6B9	cjk	$06A1	base-exact	此	此	yes	
死	U+6B7B	A6BA	cjk	$101D	base-exact	死	死	yes	
氖	U+6C16	A6BB	cjk	$0D3C	base-exact	氖	氖	yes	
汝	U+6C5D	A6BC	cjk	$0F0C	base-exact	汝	汝	yes	
汗	U+6C57	A6BD	cjk	$0903	base-exact	汗	汗	yes	
江	U+6C5F	A6BF	cjk	$0A33	base-exact	江	江	yes	
池	U+6C60	A6C0	cjk	$063A	base-exact	池	池	yes	
汐	U+6C50	A6C1	cjk	$11B5	base-exact	汐	汐	yes	
汕	U+6C55	A6C2	cjk	$0F61	base-exact	汕	汕	yes	
污	U+6C61	A6C3	cjk	$1187	base-exact	污	污	yes	
汛	U+6C5B	A6C4	cjk	$1298	base-exact	汛	汛	yes	
灰	U+7070	A6C7	cjk	$0994	base-exact	灰	灰	yes	
牟	U+725F	A6C8	cjk	$0D24	base-exact	牟	牟	yes	
牝	U+725D	A6C9	cjk	$2938	base-exact	牝	牝	yes	
百	U+767E	A6CA	cjk	$04FB	base-exact	百	百	yes	
竹	U+7AF9	A6CB	cjk	$18E7	base-exact	竹	竹	yes	
米	U+7C73	A6CC	cjk	$0CE3	base-exact	米	米	yes	
糸	U+7CF8	A6CD	cjk	$2D69	base-exact	糸	糸	no	
缶	U+7F36	A6CE	cjk	$2CC2	base-exact	缶	缶	yes	
羊	U+7F8A	A6CF	cjk	$12D6	base-exact	羊	羊	yes	
羽	U+7FBD	A6D0	cjk	$13AE	base-exact	羽	羽	yes	
老	U+8001	A6D1	cjk	$0BA3	base-exact	老	老	yes	
考	U+8003	A6D2	cjk	$0B1B	base-exact	考	考	yes	
而	U+800C	A6D3	cjk	$07A8	base-exact	而	而	yes	
耒	U+8012	A6D4	cjk	$2C18	base-exact	耒	耒	yes	
耳	U+8033	A6D5	cjk	$07AA	base-exact	耳	耳	yes	
聿	U+807F	A6D6	cjk	$2A30	base-exact	聿	聿	yes	
肉	U+8089	A6D7	cjk	$0F04	base-exact	肉	肉	yes	
肋	U+808B	A6D8	cjk	$0BB3	base-exact	肋	肋	yes	
肌	U+808C	A6D9	cjk	$09C1	base-exact	肌	肌	yes	
臣	U+81E3	A6DA	cjk	$061D	base-exact	臣	臣	yes	
自	U+81EA	A6DB	cjk	$1930	base-exact	自	自	yes	
至	U+81F3	A6DC	cjk	$18B7	base-exact	至	至	yes	
臼	U+81FC	A6DD	cjk	$0AC4	base-exact	臼	臼	yes	
舌	U+820C	A6DE	cjk	$0F7A	base-exact	舌	舌	yes	
舛	U+821B	A6DF	cjk	$1DAA	base-exact	舛	舛	yes	
舟	U+821F	A6E0	cjk	$18D1	base-exact	舟	舟	yes	
艮	U+826E	A6E1	cjk	$2D49	base-exact	艮	艮	yes	
色	U+8272	A6E2	cjk	$0F2F	base-exact	色	色	yes	
艾	U+827E	A6E3	cjk	$04CE	base-exact	艾	艾	yes	
虫	U+866B	A6E4	cjk	$0649	base-exact	虫	虫	yes	
血	U+8840	A6E5	cjk	$128E	base-exact	血	血	yes	
行	U+884C	A6E6	cjk	$1241	base-exact	行	行	yes	
衣	U+8863	A6E7	cjk	$1308	base-exact	衣	衣	yes	
西	U+897F	A6E8	cjk	$11A3	base-exact	西	西	yes	
阡	U+9621	A6E9	cjk	$1A8E	base-exact	阡	阡	yes	
串	U+4E32	A6EA	cjk	$0684	base-exact	串	串	yes	
亨	U+4EA8	A6EB	cjk	$092E	base-exact	亨	亨	yes	
位	U+4F4D	A6EC	cjk	$1167	base-exact	位	位	yes	
住	U+4F4F	A6ED	cjk	$18F5	base-exact	住	住	yes	
佇	U+4F47	A6EE	cjk	$19C9	base-t2s-ime-glyph-patch	伫	伫	yes	glyph patch 伫->佇
佗	U+4F57	A6EF	cjk	$19D0	base-exact	佗	佗	yes	
佞	U+4F5E	A6F0	cjk	$19CA	base-exact	佞	佞	yes	
伴	U+4F34	A6F1	cjk	$050F	base-exact	伴	伴	yes	
佛	U+4F5B	A6F2	cjk	$0802	base-exact	佛	佛	yes	
何	U+4F55	A6F3	cjk	$091B	base-exact	何	何	yes	
估	U+4F30	A6F4	cjk	$08A8	base-exact	估	估	yes	
佐	U+4F50	A6F5	cjk	$1966	base-exact	佐	佐	yes	
佑	U+4F51	A6F6	cjk	$1391	base-exact	佑	佑	yes	
伽	U+4F3D	A6F7	cjk	$19D2	base-exact	伽	伽	yes	
伺	U+4F3A	A6F8	cjk	$1023	base-exact	伺	伺	yes	
伸	U+4F38	A6F9	cjk	$0F86	base-exact	伸	伸	yes	
佃	U+4F43	A6FA	cjk	$0724	base-exact	佃	佃	yes	
似	U+4F3C	A6FC	cjk	$1024	base-exact	似	似	yes	
但	U+4F46	A6FD	cjk	$06DF	base-exact	但	但	yes	
佣	U+4F63	A6FE	cjk	$1374	base-exact	佣	佣	yes	
作	U+4F5C	A740	cjk	$1969	base-exact	作	作	yes	
你	U+4F60	A741	cjk	$0D6B	base-exact	你	你	yes	
伯	U+4F2F	A742	cjk	$05AA	base-exact	伯	伯	yes	
低	U+4F4E	A743	cjk	$0705	base-exact	低	低	yes	
伶	U+4F36	A744	cjk	$0C1F	base-exact	伶	伶	yes	
余	U+4F59	A745	cjk	$139E	base-exact	余	余	yes	
佝	U+4F5D	A746	cjk	$19CE	base-exact	佝	佝	yes	
佚	U+4F5A	A748	cjk	$19CD	base-exact	佚	佚	yes	
兌	U+514C	A749	cjk	$0782	base-t2s-ime-glyph-patch	兑	兑	yes	glyph patch 兑->兌
克	U+514B	A74A	cjk	$0B2B	base-exact	克	克	yes	
免	U+514D	A74B	cjk	$0CEE	base-exact	免	免	yes	
兵	U+5175	A74C	cjk	$0596	base-exact	兵	兵	yes	
冶	U+51B6	A74D	cjk	$12F3	base-exact	冶	冶	yes	
冷	U+51B7	A74E	cjk	$0BB8	base-exact	冷	冷	yes	
別	U+5225	A74F	cjk	$058E	base-t2s-ime-glyph-patch	别	别	yes	glyph patch 别->別; strict policy: canonical glyph patch for shared code $058E
判	U+5224	A750	cjk	$0DB6	base-exact	判	判	yes	
利	U+5229	A751	cjk	$0BCF	base-exact	利	利	yes	
刪	U+522A	A752	cjk	$0F43	base-t2s-ime-glyph-patch	删	删	yes	glyph patch 删->刪
刨	U+5228	A753	cjk	$0DBF	base-exact	刨	刨	yes	
劫	U+52AB	A754	cjk	$0A75	base-exact	劫	劫	yes	
助	U+52A9	A755	cjk	$18F0	base-exact	助	助	yes	
努	U+52AA	A756	cjk	$0D92	base-exact	努	努	yes	
劬	U+52AC	A757	cjk	$1AC6	base-exact	劬	劬	yes	
