ext_index	char	unicode	big5	category	t2s	dfs_code	page	low	slot_source	compat_class	note
201	鉋	U+924B	B95E	cjk	铇	$14E4	$14	$E4	extension-page	cjk-extension	new/expanded DFS page
202	鉅	U+9245	B964	cjk	巨	$14E5	$14	$E5	extension-page	cjk-extension	new/expanded DFS page
203	雊	U+96CA	B96F	cjk	雊	$14E6	$14	$E6	extension-page	cjk-extension	new/expanded DFS page
204	僕	U+50D5	B9B2	cjk	仆	$14E7	$14	$E7	extension-page	cjk-extension	new/expanded DFS page
205	僱	U+50F1	B9B5	cjk	雇	$14E8	$14	$E8	extension-page	cjk-extension	new/expanded DFS page
206	僎	U+50CE	B9B6	cjk	僎	$14E9	$14	$E9	extension-page	cjk-extension	new/expanded DFS page
207	僩	U+50E9	B9B7	cjk	僩	$14EA	$14	$EA	extension-page	cjk-extension	new/expanded DFS page
208	劃	U+5283	B9BA	cjk	划	$14EB	$14	$EB	extension-page	cjk-extension	new/expanded DFS page
209	嘐	U+5610	B9CC	cjk	嘐	$14EC	$14	$EC	extension-page	cjk-extension	new/expanded DFS page
210	塽	U+587D	B9D7	cjk	塽	$14ED	$14	$ED	extension-page	cjk-extension	new/expanded DFS page
211	寧	U+5BE7	B9E7	cjk	宁	$14EE	$14	$EE	extension-page	cjk-extension	new/expanded DFS page
212	彆	U+5F46	B9FB	cjk	别	$14EF	$14	$EF	extension-page	cjk-extension	new/expanded DFS page
213	慇	U+6147	B9FE	cjk	慇	$14F0	$14	$F0	extension-page	cjk-extension	new/expanded DFS page
214	槓	U+69D3	BA62	cjk	杠	$14F1	$14	$F1	extension-page	cjk-extension	new/expanded DFS page
215	構	U+69CB	BA63	cjk	构	$14F2	$14	$F2	extension-page	cjk-extension	new/expanded DFS page
216	榦	U+69A6	BA6D	cjk	干	$14F3	$14	$F3	extension-page	cjk-extension	new/expanded DFS page
217	槃	U+69C3	BA6E	cjk	槃	$14F4	$14	$F4	extension-page	cjk-extension	new/expanded DFS page
218	榣	U+69A3	BA6F	cjk	榣	$14F5	$14	$F5	extension-page	cjk-extension	new/expanded DFS page
219	滷	U+6EF7	BAB1	cjk	卤	$14F6	$14	$F6	extension-page	cjk-extension	new/expanded DFS page
220	瘉	U+7609	BAC7	cjk	瘉	$14F7	$14	$F7	extension-page	cjk-extension	new/expanded DFS page
221	種	U+7A2E	BAD8	cjk	种	$14F8	$14	$F8	extension-page	cjk-extension	new/expanded DFS page
222	窪	U+7AAA	BADA	cjk	洼	$14F9	$14	$F9	extension-page	cjk-extension	new/expanded DFS page
223	箇	U+7B87	BAE7	cjk	个	$14FA	$14	$FA	extension-page	cjk-extension	new/expanded DFS page
224	箄	U+7B84	BAE8	cjk	箄	$14FB	$14	$FB	extension-page	cjk-extension	new/expanded DFS page
225	網	U+7DB2	BAF4	cjk	网	$14FC	$14	$FC	extension-page	cjk-extension	new/expanded DFS page
226	綵	U+7DB5	BAF9	cjk	彩	$1501	$15	$01	extension-page	cjk-extension	new/expanded DFS page
227	臺	U+81FA	BB4F	cjk	台	$1502	$15	$02	extension-page	cjk-extension	new/expanded DFS page
228	與	U+8207	BB50	cjk	与	$1503	$15	$03	extension-page	cjk-extension	new/expanded DFS page
229	蓆	U+84C6	BB56	cjk	席	$1504	$15	$04	extension-page	cjk-extension	new/expanded DFS page
230	蒐	U+8490	BB60	cjk	搜	$1505	$15	$05	extension-page	cjk-extension	new/expanded DFS page
231	製	U+88FD	BB73	cjk	制	$1506	$15	$06	extension-page	cjk-extension	new/expanded DFS page
232	裯	U+88EF	BB76	cjk	裯	$1507	$15	$07	extension-page	cjk-extension	new/expanded DFS page
233	誌	U+8A8C	BB78	cjk	志	$1508	$15	$08	extension-page	cjk-extension	new/expanded DFS page
234	誧	U+8AA7	BBA7	cjk	誧	$1509	$15	$09	extension-page	cjk-extension	new/expanded DFS page
235	貍	U+8C8D	BBA9	cjk	貍	$150A	$15	$0A	extension-page	cjk-extension	new/expanded DFS page
236	趕	U+8D95	BBB0	cjk	赶	$150B	$15	$0B	extension-page	cjk-extension	new/expanded DFS page
237	跼	U+8DFC	BBB1	cjk	跼	$150C	$15	$0C	extension-page	cjk-extension	new/expanded DFS page
238	輓	U+8F13	BBB5	cjk	挽	$150D	$15	$0D	extension-page	cjk-extension	new/expanded DFS page
239	遝	U+905D	BBBE	cjk	遝	$150E	$15	$0E	extension-page	cjk-extension	new/expanded DFS page
240	鄘	U+9118	BBC1	cjk	鄘	$150F	$15	$0F	extension-page	cjk-extension	new/expanded DFS page
241	鉼	U+927C	BBD0	cjk	鉼	$1510	$15	$10	extension-page	cjk-extension	new/expanded DFS page
242	閤	U+95A4	BBD7	cjk	合	$1511	$15	$11	extension-page	cjk-extension	new/expanded DFS page
243	颱	U+98B1	BBE4	cjk	台	$1512	$15	$12	extension-page	cjk-extension	new/expanded DFS page
244	骯	U+9AAF	BBEA	cjk	肮	$1513	$15	$13	extension-page	cjk-extension	new/expanded DFS page
245	麼	U+9EBC	BBF2	cjk	么	$1517	$15	$17	extension-page	cjk-extension	new/expanded DFS page
246	價	U+50F9	BBF9	cjk	价	$1518	$15	$18	extension-page	cjk-extension	new/expanded DFS page
247	儅	U+5105	BBFD	cjk	儅	$1519	$15	$19	extension-page	cjk-extension	new/expanded DFS page
248	墦	U+58A6	BC5C	cjk	墦	$151A	$15	$1A	extension-page	cjk-extension	new/expanded DFS page
